run_id,timestamp,experiment_name,strategy,strategy_variant,proximal_mu,server_round,loss,global_accuracy,global_f1_score,global_sensitivity,global_specificity,patient_global_accuracy,patient_global_f1_score,patient_global_sensitivity,patient_global_specificity,modality_FLAIR_accuracy,modality_FLAIR_f1_score,modality_FLAIR_sensitivity,modality_FLAIR_specificity,patient_modality_FLAIR_accuracy,patient_modality_FLAIR_f1_score,patient_modality_FLAIR_sensitivity,patient_modality_FLAIR_specificity,modality_T1w_accuracy,modality_T1w_f1_score,modality_T1w_sensitivity,modality_T1w_specificity,patient_modality_T1w_accuracy,patient_modality_T1w_f1_score,patient_modality_T1w_sensitivity,patient_modality_T1w_specificity,hospital_1_accuracy,hospital_1_f1_score,hospital_1_sensitivity,hospital_1_specificity,patient_hospital_1_accuracy,patient_hospital_1_f1_score,patient_hospital_1_sensitivity,patient_hospital_1_specificity,hospital_2_accuracy,hospital_2_f1_score,hospital_2_sensitivity,hospital_2_specificity,patient_hospital_2_accuracy,patient_hospital_2_f1_score,patient_hospital_2_sensitivity,patient_hospital_2_specificity,hospital_3_accuracy,hospital_3_f1_score,hospital_3_sensitivity,hospital_3_specificity,patient_hospital_3_accuracy,patient_hospital_3_f1_score,patient_hospital_3_sensitivity,patient_hospital_3_specificity,hospital_4_accuracy,hospital_4_f1_score,hospital_4_sensitivity,hospital_4_specificity,patient_hospital_4_accuracy,patient_hospital_4_f1_score,patient_hospital_4_sensitivity,patient_hospital_4_specificity
20260517_025624,2026-05-17T02:57:30,FTL_FLAIR_vs_T1w_FedAvg,FedAvg,FedAvg,0.0,0,1.0413896850832216,0.45787545787545786,0.28789782244556117,0.999000999000999,0.0,0.4583333333333333,0.2880952380952381,1.0,0.0,0.46153846153846156,0.291497975708502,1.0,0.0,0.46153846153846156,0.291497975708502,1.0,0.0,0.45354645354645357,0.2836613558263043,0.9978021978021978,0.0,0.45454545454545453,0.2840909090909091,1.0,0.0,0.46153846153846156,0.291497975708502,1.0,0.0,0.46153846153846156,0.291497975708502,1.0,0.0,0.46153846153846156,0.291497975708502,1.0,0.0,0.46153846153846156,0.291497975708502,1.0,0.0,0.45454545454545453,0.2840909090909091,1.0,0.0,0.45454545454545453,0.2840909090909091,1.0,0.0,0.45254745254745254,0.2832312117043892,0.9956043956043956,0.0,0.45454545454545453,0.2840909090909091,1.0,0.0
20260517_025624,2026-05-17T02:59:11,FTL_FLAIR_vs_T1w_FedAvg,FedAvg,FedAvg,0.0,1,0.12442409781375158,0.959478021978022,0.9593570304810634,0.9265734265734266,0.9873203719357565,1.0,1.0,1.0,1.0,0.9378698224852071,0.9373224713430899,0.8653846153846154,1.0,1.0,1.0,1.0,1.0,0.985014985014985,0.9850321326644447,1.0,0.9725274725274725,1.0,1.0,1.0,1.0,0.9433643279797126,0.9429281444079283,0.8772893772893773,1.0,1.0,1.0,1.0,1.0,0.9323753169907016,0.9317001795969106,0.8534798534798534,1.0,1.0,1.0,1.0,1.0,0.984015984015984,0.9840352345992786,1.0,0.9706959706959707,1.0,1.0,1.0,1.0,0.986013986013986,0.9860291223927588,1.0,0.9743589743589743,1.0,1.0,1.0,1.0
20260517_025624,2026-05-17T03:00:52,FTL_FLAIR_vs_T1w_FedAvg,FedAvg,FedAvg,0.0,2,0.049390836937195384,0.983058608058608,0.983035803982522,0.9665334665334665,0.9970414201183432,1.0,1.0,1.0,1.0,0.9716821639898563,0.9715968261469443,0.9386446886446886,1.0,1.0,1.0,1.0,1.0,0.9965034965034965,0.9965045733977987,1.0,0.9935897435897436,1.0,1.0,1.0,1.0,0.9695688926458157,0.9694683179416004,0.9340659340659341,1.0,1.0,1.0,1.0,1.0,0.9737954353338969,0.9737238584844942,0.9432234432234432,1.0,1.0,1.0,1.0,1.0,0.995004995004995,0.9950071545076599,1.0,0.9908424908424909,1.0,1.0,1.0,1.0,0.998001998001998,0.9980023557643065,1.0,0.9963369963369964,1.0,1.0,1.0,1.0
20260517_025624,2026-05-17T03:02:34,FTL_FLAIR_vs_T1w_FedAvg,FedAvg,FedAvg,0.0,3,0.028965674483998474,0.9915293040293041,0.9915271118006381,0.9875124875124875,0.9949281487743026,1.0,1.0,1.0,1.0,0.9894336432797971,0.9894237999237597,0.9771062271062271,1.0,1.0,1.0,1.0,1.0,0.994005994005994,0.9940090670023841,1.0,0.989010989010989,1.0,1.0,1.0,1.0,0.9873203719357565,0.9873058496486646,0.9725274725274725,1.0,1.0,1.0,1.0,1.0,0.9915469146238377,0.9915407693060706,0.9816849816849816,1.0,1.0,1.0,1.0,1.0,0.9920079920079921,0.9920133247678288,1.0,0.9853479853479854,1.0,1.0,1.0,1.0,0.996003996003996,0.9960053943996535,1.0,0.9926739926739927,1.0,1.0,1.0,1.0
20260517_025624,2026-05-17T03:04:13,FTL_FLAIR_vs_T1w_FedAvg,FedAvg,FedAvg,0.0,4,0.13651100593267462,0.948489010989011,0.948129102146774,0.8881118881118881,0.9995773457311918,0.9791666666666666,0.9791209594851543,0.9545454545454546,1.0,0.9053254437869822,0.9037407037407038,0.7948717948717948,1.0,0.9615384615384616,0.9613654711105986,0.9166666666666666,1.0,0.9995004995004995,0.9995005222436601,1.0,0.9990842490842491,1.0,1.0,1.0,1.0,0.8977176669484361,0.895780672306369,0.7783882783882784,1.0,0.9230769230769231,0.9221445221445221,0.8333333333333334,1.0,0.9129332206255283,0.9116557197605591,0.8113553113553114,1.0,1.0,1.0,1.0,1.0,0.999000999000999,0.9990010894628154,1.0,0.9981684981684982,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20260517_025624,2026-05-17T03:05:51,FTL_FLAIR_vs_T1w_FedAvg,FedAvg,FedAvg,0.0,5,0.03621388119310025,0.9885531135531136,0.9885427938830423,0.977022977022977,0.9983093829247676,1.0,1.0,1.0,1.0,0.9805579036348268,0.9805211366430931,0.9578754578754579,1.0,1.0,1.0,1.0,1.0,0.998001998001998,0.9980023557643065,1.0,0.9963369963369964,1.0,1.0,1.0,1.0,0.9695688926458157,0.9694683179416004,0.9340659340659341,1.0,1.0,1.0,1.0,1.0,0.9915469146238377,0.9915407693060706,0.9816849816849816,1.0,1.0,1.0,1.0,1.0,0.996003996003996,0.9960053943996535,1.0,0.9926739926739927,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20260517_025624,2026-05-17T03:07:29,FTL_FLAIR_vs_T1w_FedAvg,FedAvg,FedAvg,0.0,6,0.11171944672359713,0.9592490842490843,0.959039803055451,0.9110889110889111,1.0,0.9791666666666666,0.9791209594851543,0.9545454545454546,1.0,0.9247675401521556,0.9238859413632234,0.836996336996337,1.0,0.9615384615384616,0.9613654711105986,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9163144547759933,0.9151598869265655,0.8186813186813187,1.0,0.9230769230769231,0.9221445221445221,0.8333333333333334,1.0,0.9332206255283179,0.9325662740056115,0.8553113553113553,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20260517_025624,2026-05-17T03:09:08,FTL_FLAIR_vs_T1w_FedAvg,FedAvg,FedAvg,0.0,7,0.03580966383530519,0.987408424908425,0.9873949489097391,0.974025974025974,0.9987320371935756,1.0,1.0,1.0,1.0,0.978021978021978,0.9779737335834897,0.9523809523809523,1.0,1.0,1.0,1.0,1.0,0.9985014985014985,0.9985017008915371,1.0,0.9972527472527473,1.0,1.0,1.0,1.0,0.9712595097210481,0.9711712444842292,0.9377289377289377,1.0,1.0,1.0,1.0,1.0,0.9847844463229078,0.9847629323821447,0.967032967032967,1.0,1.0,1.0,1.0,1.0,0.997002997002997,0.9970037927819467,1.0,0.9945054945054945,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20260517_025624,2026-05-17T03:10:46,FTL_FLAIR_vs_T1w_FedAvg,FedAvg,FedAvg,0.0,8,0.030489259739854974,0.9906135531135531,0.9906066249853398,0.981018981018981,0.9987320371935756,1.0,1.0,1.0,1.0,0.9839391377852916,0.9839149432716919,0.9652014652014652,1.0,1.0,1.0,1.0,1.0,0.9985014985014985,0.9985017008915371,1.0,0.9972527472527473,1.0,1.0,1.0,1.0,0.9746407438715131,0.9745742715223843,0.945054945054945,1.0,1.0,1.0,1.0,1.0,0.9932375316990701,0.9932336776865908,0.9853479853479854,1.0,1.0,1.0,1.0,1.0,0.997002997002997,0.9970037927819467,1.0,0.9945054945054945,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20260517_025624,2026-05-17T03:12:23,FTL_FLAIR_vs_T1w_FedAvg,FedAvg,FedAvg,0.0,9,0.0201948329328643,0.9929029304029304,0.9929002025680215,0.9875124875124875,0.9974640743871513,1.0,1.0,1.0,1.0,0.9894336432797971,0.9894237999237597,0.9771062271062271,1.0,1.0,1.0,1.0,1.0,0.997002997002997,0.9970037927819467,1.0,0.9945054945054945,1.0,1.0,1.0,1.0,0.9805579036348268,0.9805211366430931,0.9578754578754579,1.0,1.0,1.0,1.0,1.0,0.9983093829247676,0.9983091568349399,0.9963369963369964,1.0,1.0,1.0,1.0,1.0,0.994005994005994,0.9940090670023841,1.0,0.989010989010989,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
