experiment_name,strategy,strategy_variant,proximal_mu,hospital_id,accuracy,f1_score,sensitivity,specificity
FTL_FLAIR_vs_T1w_FedAvg,FedAvg,FedAvg,0.0,1,0.9687235841081996,0.9686164880412604,0.9322344322344324,1.0
FTL_FLAIR_vs_T1w_FedAvg,FedAvg,FedAvg,0.0,2,0.9940828402366864,0.9940799197277252,0.9871794871794872,1.0
FTL_FLAIR_vs_T1w_FedAvg,FedAvg,FedAvg,0.0,3,0.997002997002997,0.9970037927819468,1.0,0.9945054945054944
FTL_FLAIR_vs_T1w_FedAvg,FedAvg,FedAvg,0.0,4,1.0,1.0,1.0,1.0
FTL_FLAIR_vs_T1w_FedProx_mu_0p001,FedProx,FedProx_mu_0p001,0.001,1,0.9957734573119188,0.9957719980729852,0.9908424908424908,1.0
FTL_FLAIR_vs_T1w_FedProx_mu_0p001,FedProx,FedProx_mu_0p001,0.001,2,1.0,1.0,1.0,1.0
FTL_FLAIR_vs_T1w_FedProx_mu_0p001,FedProx,FedProx_mu_0p001,0.001,3,0.961038961038961,0.9611180296111804,1.0,0.9285714285714286
FTL_FLAIR_vs_T1w_FedProx_mu_0p001,FedProx,FedProx_mu_0p001,0.001,4,0.997002997002997,0.9970037927819468,1.0,0.9945054945054944
FTL_FLAIR_vs_T1w_FedProx_mu_0p01,FedProx,FedProx_mu_0p01,0.01,1,0.9805579036348268,0.9805211366430931,0.957875457875458,1.0
FTL_FLAIR_vs_T1w_FedProx_mu_0p01,FedProx,FedProx_mu_0p01,0.01,2,1.0,1.0,1.0,1.0
FTL_FLAIR_vs_T1w_FedProx_mu_0p01,FedProx,FedProx_mu_0p01,0.01,3,0.99000999000999,0.9900181189862136,1.0,0.9816849816849816
FTL_FLAIR_vs_T1w_FedProx_mu_0p01,FedProx,FedProx_mu_0p01,0.01,4,1.0,1.0,1.0,1.0
FTL_FLAIR_vs_T1w_FedProx_mu_0p1,FedProx,FedProx_mu_0p1,0.1,1,0.9442096365173288,0.9437891514089471,0.8791208791208791,1.0
FTL_FLAIR_vs_T1w_FedProx_mu_0p1,FedProx,FedProx_mu_0p1,0.1,2,0.981403212172443,0.9813698733480664,0.9597069597069596,1.0
FTL_FLAIR_vs_T1w_FedProx_mu_0p1,FedProx,FedProx_mu_0p1,0.1,3,0.981018981018981,0.9810450299667478,1.0,0.9652014652014652
FTL_FLAIR_vs_T1w_FedProx_mu_0p1,FedProx,FedProx_mu_0p1,0.1,4,1.0,1.0,1.0,1.0
